smiles,value,cano_smiles
CCCC1=C(C(=NC(=C1C(=O)SCC)CC)C2=CC=CC=C2F)C(=O)OCCC,-1.3617278360175928,CCCOC(=O)c1c(-c2ccccc2F)nc(CC)c(C(=O)SCC)c1CCC
CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=CC=C(C=C3)OCOC(=O)NCCN,-2.03342375548695,CCCn1c(=O)c2[nH]c(-c3ccc(OCOC(=O)NCCN)cc3)nc2n(CCC)c1=O
CCNC1=NC(=NC2=C1N=CN2C3C4CC4(C(C3O)O)C(=O)NC)C#CC5=CC=C(S5)Cl,-0.5797835966168101,CCNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2C1C(O)C(O)C2(C(=O)NC)CC12
CC(C)(C)OC(=O)CCCCNC(=O)CC1=CC=C(C=C1)NC(=O)NC2=NC3=NN(C=C3C4=NC(=NN42)C5=CC=CO5)C,-0.5390760987927766,Cn1cc2c(nc(NC(=O)Nc3ccc(CC(=O)NCCCCC(=O)OC(C)(C)C)cc3)n3nc(-c4ccco4)nc23)n1
CC1(C(C(OC1C(=O)NC)N2C=NC3=C2N=C(N=C3NCC4=CC(=CC=C4)I)NC)O)O,-3.0791812460476247,CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)nc(NC)nc32)C(O)C1(C)O
CCNC1=NC(=NC2=C1N=CN2C3C(C(C(O3)CO)O)O)N4C=C(C=N4)C5=CC=C(C=C5)OC,-1.6127838567197357,CCNc1nc(-n2cc(-c3ccc(OC)cc3)cn2)nc2c1ncn2C1OC(CO)C(O)C1O
CCNC(=O)C1C(C(C(O1)N2C=NC3=C2N=C(N=C3NC4=CC=C(C=C4)OCC(=O)NCC5=CC=CC=C5)Cl)O)O,-1.8790958795000727,CCNC(=O)C1OC(n2cnc3c(Nc4ccc(OCC(=O)NCc5ccccc5)cc4)nc(Cl)nc32)C(O)C1O
CN1C=C2C(=N1)N=C(N3C2=NC(=N3)C4=CC=CO4)NCCCCCCO,-2.1931245983544616,Cn1cc2c(nc(NCCCCCCO)n3nc(-c4ccco4)nc23)n1
CCCN1C(=O)C2=C(N=C(N2)C3=CC=CC=C3)N(C1=O)CCSCC,-2.0700009038023452,CCCn1c(=O)c2[nH]c(-c3ccccc3)nc2n(CCSCC)c1=O
CCN1C2=C(C(=O)N(C1=O)CC)N(C(=N2)C=CC3=CC(=C(C=C3)OC)OC)C,-3.6503075231319366,CCn1c(=O)c2c(nc(C=Cc3ccc(OC)c(OC)c3)n2C)n(CC)c1=O
CNC(=O)C12CC1C(C(C2O)O)N3C=NC4=C3N=C(N=C4NCC5=CC(=CC=C5)Cl)C#CCCC(=O)O,-1.7860412102425542,CNC(=O)C12CC1C(n1cnc3c(NCc4cccc(Cl)c4)nc(C#CCCC(=O)O)nc31)C(O)C2O
CCN1C=C2C(=N1)N=C(N3C2=NC(=N3)C4=CC=CO4)NC(=O)NC5=CC=C(C=C5)C(F)(F)F,0.013228265733755159,CCn1cc2c(nc(NC(=O)Nc3ccc(C(F)(F)F)cc3)n3nc(-c4ccco4)nc23)n1
CCNC(=O)C1C(C(C(O1)N2C=NC3=C2N=C(N=C3N)C#CC4=CC=CC=C4)O)O,-0.7923916894982539,CCNC(=O)C1OC(n2cnc3c(N)nc(C#Cc4ccccc4)nc32)C(O)C1O
C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)N=NNC(=O)N,-2.3201462861110542,NC(=O)NN=Nc1nc(N)c2ncn(C3OC(CO)C(O)C3O)c2n1
CONC1=NC(=NC2=C1N=CN2C3C4CC4C(C3O)O)C#CC5=CC=CC=C5Cl,-0.9304395947667,CONc1nc(C#Cc2ccccc2Cl)nc2c1ncn2C1C(O)C(O)C2CC21
CCC(CC)C(=O)NC1=NC(=NC(=C1)C2=CC=C(C=C2)OC)C3=CC=C(C=C3)OC,-1.7641761323903309,CCC(CC)C(=O)Nc1cc(-c2ccc(OC)cc2)nc(-c2ccc(OC)cc2)n1
CC(C)(C)N1C=C2C(=N1)N=C(N3C2=NC(=N3)C4=CC=CO4)NC(=O)NC5=CC=C(C=C5)OC,0.0969100130080564,COc1ccc(NC(=O)Nc2nc3nn(C(C)(C)C)cc3c3nc(-c4ccco4)nn23)cc1
CC1=CC=C(C=C1)OC(C)C(=O)NC2=NNC(=N2)C3=CC=CC=C3,-3.146128035678238,Cc1ccc(OC(C)C(=O)Nc2n[nH]c(-c3ccccc3)n2)cc1
CN1C=CC2=C(CN3C(=NC(=N3)C4=CC=CC=C4)C2=C1)C(=O)OC,-1.1139433523068367,COC(=O)C1=C2C=CN(C)C=C2c2nc(-c3ccccc3)nn2C1
CCN1N=C(N=N1)C2C(C(C(O2)N3C=NC4=C3N=C(N=C4N)NC(C)CC5=CC=C(C=C5)Br)O)O,-2.357934847000454,CCn1nnc(C2OC(n3cnc4c(N)nc(NC(C)Cc5ccc(Br)cc5)nc43)C(O)C2O)n1
CCOC(=O)C1=CN=C(N2C1=NC(=N2)C3=CC=CO3)NC(=O)NC4=CC=CC=C4,-2.5526682161121936,CCOC(=O)c1cnc(NC(=O)Nc2ccccc2)n2nc(-c3ccco3)nc12
CCNC1=NC=C(C2=NC(=NN21)C3=CC=CO3)C(=O)O,-2.6812412373755867,CCNc1ncc(C(=O)O)c2nc(-c3ccco3)nn12
CNC(=O)C12CC1C(C(C2O)O)N3C=NC4=C3N=C(N=C4NCC5=CC(=CC=C5)Cl)C#C,-0.11394335230683678,C#Cc1nc(NCc2cccc(Cl)c2)c2ncn(C3C(O)C(O)C4(C(=O)NC)CC34)c2n1
COC1=CC(=C(C=C1)C2=CC(=NC(=N2)C3=C(C=C(C=C3)OC)OC)NC(=O)C4CCCCC4)OC,-1.7505083948513462,COc1ccc(-c2cc(NC(=O)C3CCCCC3)nc(-c3ccc(OC)cc3OC)n2)c(OC)c1
CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C3=CC=C(C=C3)OCCN(C)C,-0.9722028383790644,CN(C)CCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1
CCCCCCC#CC1=NC2=C(C(=N1)NCC)N=CN2C3C(C(C(O3)C(=O)NCC)O)O,-0.7817553746524689,CCCCCCC#Cc1nc(NCC)c2ncn(C3OC(C(=O)NCC)C(O)C3O)c2n1
C1CCC(C1)NC2=NC(=NC3=C2N=CN3C4C(C(C(O4)CSC5=CC=CC=C5F)O)O)Cl,-2.6803355134145628,OC1C(CSc2ccccc2F)OC(n2cnc3c(NC4CCCC4)nc(Cl)nc32)C1O
CN1C=C2C(=N1)N=C(N3C2=NC(=N3)C4=CC=CO4)NC(=O)NC5=CC=CC=N5,0.4559319556497244,Cn1cc2c(nc(NC(=O)Nc3ccccn3)n3nc(-c4ccco4)nc23)n1
CC1=CC=C(C=C1)NC(=O)NC2=NC3=NN(C=C3C4=NC(=NN42)C5=CC=CO5)CC6CCCCC6,-3.4694081349309154,Cc1ccc(NC(=O)Nc2nc3nn(CC4CCCCC4)cc3c3nc(-c4ccco4)nn23)cc1
C1CCC(C1)NC2=NC(=NC3=C2N=CN3C4C(C(C(O4)CO)O)O)[N+](=O)[O-],-2.3463529744506393,O=[N+]([O-])c1nc(NC2CCCC2)c2ncn(C3OC(CO)C(O)C3O)c2n1
CNC1=NC(=C(S1)C(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3,-3.0,CNc1nc(-c2ccccc2)c(C(=O)c2ccc(Cl)cc2)s1
CCCC(=O)NC1=NC(=NC(=C1)C2=CC3=C(C=C2)OCO3)C4=CC5=C(C=C4)OCO5,-1.7708520116421442,CCCC(=O)Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccc3c(c2)OCO3)n1
C1CC(C1)NC(=O)C2C(C(C(S2)N3C=NC4=C3N=C(N=C4NCC5=CC(=CC=C5)I)Cl)O)O,-1.260071387985075,O=C(NC1CCC1)C1SC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1O
CCCN1C(=O)C2=C(N=C3N2C=CC=C3)N(C1=O)CC4=CC=CC=C4,-0.6020599913279624,CCCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O
C1=CC(=CC(=C1)I)CNC2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)CN)O,-3.7139103541289553,NCC1C(CO)OC(n2cnc3c(NCc4cccc(I)c4)ncnc32)C1O
CC1=CC(=CC=C1)NC2=NC3=C(S2)N=C(NC3=O)C,-2.6532125137753435,Cc1cccc(Nc2nc3c(=O)[nH]c(C)nc3s2)c1
CC(=O)NC1=NC(=NC(=C1)C=CC2=CC=CC=C2)C=CC3=CC=CC=C3,-1.1931245983544616,CC(=O)Nc1cc(C=Cc2ccccc2)nc(C=Cc2ccccc2)n1
CCOC(=O)C1=C(NC(=C(C1C#CC2=CC=CC=C2)C(=O)OC)C)C,-2.9731278535996988,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1C#Cc1ccccc1
CC(C)(C)OC(=O)NC1=NC2=C(C=C(C=C2)Cl)C3=NC(=NN31)C4=CC=CO4,-1.916453948549925,CC(C)(C)OC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
C1CC(C(C1)O)NC2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)O)O,-3.4000006169763797,OCC1OC(n2cnc3c(NC4CCCC4O)ncnc32)C(O)C1O
CCC(=O)NC1=NC(=NC(=C1)C=CC2=CC=CC=C2)C=CC3=CC=CC=C3,-1.6711728427150832,CCC(=O)Nc1cc(C=Cc2ccccc2)nc(C=Cc2ccccc2)n1
CC1(C(C(OC1N2C=NC3=C2N=C(N=C3NCC4=CC(=CC=C4)I)Cl)C(=O)NC)O)O,-2.6812412373755867,CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(C)(O)C1O
CCOC(=O)C1C(C(=C(N=C1C)C2=CC=CC=C2)C(=O)SCC)C#CC3=CC=CC=C3,-2.7535830588929064,CCOC(=O)C1C(C)=NC(c2ccccc2)=C(C(=O)SCC)C1C#Cc1ccccc1
CC(C)C1=NC2=C(N1)C(=CC(=N2)C3=CC=CC=C3)C4=CC=CC=C4,-0.8633228601204559,CC(C)c1nc2nc(-c3ccccc3)cc(-c3ccccc3)c2[nH]1
COC1=CC=C(C=C1)N2C(=O)N3C4=C(C(=CC=C4)[N+](=O)[O-])N=C(C3=N2)NC(=O)C(C5=CC=CC=C5)C6=CC=CC=C6,0.0969100130080564,COc1ccc(-n2nc3c(NC(=O)C(c4ccccc4)c4ccccc4)nc4c([N+](=O)[O-])cccc4n3c2=O)cc1
C1CCC(CC1)CC(=O)NC2=NC3=C(C(=N2)N)N=CN3C4C(C(C(O4)CO)O)O,-3.089905111439398,Nc1nc(NC(=O)CC2CCCCC2)nc2c1ncn2C1OC(CO)C(O)C1O
CNC1=NC2=NC(=NN2C(=N1)N)C3=CC=CO3,-3.1931245983544616,CNc1nc(N)n2nc(-c3ccco3)nc2n1
COC1=CC=C(C=C1)NC2=NC3=CC=CC=C3C4=C2NC(=N4)C5CCCC5,-2.6127838567197355,COc1ccc(Nc2nc3ccccc3c3nc(C4CCCC4)[nH]c23)cc1
C1CCN(C1)C2=NC3=CC=CC=C3C(=N2)NC(=O)NC4=CC=CC=C4,-1.9138138523837167,O=C(Nc1ccccc1)Nc1nc(N2CCCC2)nc2ccccc12
C1=CC=C(C=C1)N2C=C3C4=CC=CC=C4N=C(C3=N2)NC(=O)C5=NC=NC=C5,-2.322219294733919,O=C(Nc1nc2ccccc2c2cn(-c3ccccc3)nc12)c1ccncn1
C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,-3.4680517914542377,Fc1ccc(C(c2ccc(F)cc2)N2CCN(CC=Cc3ccccc3)CC2)cc1
CC1=CC=C(C=C1)N2C(=O)N3C4=CC=CC=C4N=C(C3=N2)N,-1.683947130751512,Cc1ccc(-n2nc3c(N)nc4ccccc4n3c2=O)cc1
COC1=CC=CC(=C1)C(=O)NC2=NC(=NC3=C2N=NN3CC4=CC=CC=C4)C5=CC=CC=C5,-3.7428036584691657,COc1cccc(C(=O)Nc2nc(-c3ccccc3)nc3c2nnn3Cc2ccccc2)c1
C1=CC=C2C(=C1)N(C3=NN=C(C(=O)N23)C4=CC=CO4)C5=CC=C(C=C5)Cl,-2.846337112129805,O=c1c(-c2ccco2)nnc2n(-c3ccc(Cl)cc3)c3ccccc3n12
CCNC(=O)C1C(C(C(O1)N2C=NC3=C2N=CN=C3NC(=O)NC4=CC=C(C=C4)S(=O)(=O)N5CCOCC5)O)O,-1.3010299956639813,CCNC(=O)C1OC(n2cnc3c(NC(=O)Nc4ccc(S(=O)(=O)N5CCOCC5)cc4)ncnc32)C(O)C1O
CN1C=C2C(=N1)N=C(N3C2=NC(=N3)C4=CC=C(C=C4)Br)NC(=O)NC5=CC=C(C=C5)F,-0.2355284469075489,Cn1cc2c(nc(NC(=O)Nc3ccc(F)cc3)n3nc(-c4ccc(Br)cc4)nc23)n1
C1CCC(C1)NC2=NC=NC3=C2N=CN3C4C(C(C(O4)CCl)O)O,-2.5751878449276613,OC1C(CCl)OC(n2cnc3c(NC4CCCC4)ncnc32)C1O
CNC1=NC(=NC2=C1N=CN2C3C4CC4(C(C3O)O)C(=O)NC)C#CC5=CC(=CC=C5)F,0.013228265733755159,CNC(=O)C12CC1C(n1cnc3c(NC)nc(C#Cc4cccc(F)c4)nc31)C(O)C2O
CCC1=CN2C(=N1)N=C(N=C2NC(=O)C3CCCC3)C4=CC=CC=C4,-1.3053513694466237,CCc1cn2c(NC(=O)C3CCCC3)nc(-c3ccccc3)nc2n1
CCCCCCCCN1C=C2C(=N1)N=C(N3C2=NC(=N3)C4=CC=CO4)NC(=O)NC5CCCCC5,-1.2119210843085093,CCCCCCCCn1cc2c(nc(NC(=O)NC3CCCCC3)n3nc(-c4ccco4)nc23)n1
CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=CC=C(C=C3)OCC(=O)O,-3.5961059002689804,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)O)cc3)nc2n(CCC)c1=O
CCNC(=O)C1C(C(C(S1)N2C=NC3=C2N=CN=C3NC)O)O,0.013228265733755159,CCNC(=O)C1SC(n2cnc3c(NC)ncnc32)C(O)C1O
CCNC1=NC(=NC2=C1N=CN2C3C4CC4C(C3O)O)C#CC5=CC=CC=C5Cl,-0.7634279935629373,CCNc1nc(C#Cc2ccccc2Cl)nc2c1ncn2C1C(O)C(O)C2CC21
C1C(C(C(S1)N2C=NC3=C2N=CN=C3NCC4=CC(=CC=C4)Br)O)O,-0.8325089127062363,OC1CSC(n2cnc3c(NCc4cccc(Br)c4)ncnc32)C1O
COC1=CC=C(C=C1)N2C=C3C(=N2)C(=NC(=N3)C4=CC=CC=C4)NC(=O)CC5=CC=CC=C5,-1.3802112417116061,COc1ccc(-n2cc3nc(-c4ccccc4)nc(NC(=O)Cc4ccccc4)c3n2)cc1
C1=CC=C(C=C1)C(CCNC(=O)C2C(C(C(O2)N3C=NC4=C3N=C(N=C4NCC5=CC(=CC=C5)I)Cl)O)O)C6=CC=CC=C6,-2.5400039448500267,O=C(NCCC(c1ccccc1)c1ccccc1)C1OC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1O
CNC1=NC(=NC2=C1N=CN2C3C4CC4(C(C3O)O)C(=O)NC)C#CC5=CC(=CC=C5)OC,0.040958607678906384,CNC(=O)C12CC1C(n1cnc3c(NC)nc(C#Cc4cccc(OC)c4)nc31)C(O)C2O
CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=CN(N=C3)CC4=NOC(=C4)C5=CC=C(C=C5)C(F)(F)F,-3.0791812460476247,CCCn1c(=O)c2[nH]c(-c3cnn(Cc4cc(-c5ccc(C(F)(F)F)cc5)on4)c3)nc2n(CCC)c1=O
COC1=CC=C(C=C1)C2=CSC(=N2)NC3C4=C(C(=C(C=C4)OC)OC)C(=O)O3,-3.113943352306837,COc1ccc(-c2csc(NC3OC(=O)c4c3ccc(OC)c4OC)n2)cc1
CN1C=C2C(=N1)N=C(N3C2=NC(=N3)C4=CC=CO4)NC(=O)NC5=CC=C(C=C5)CC(=O)NCCCOCCOOCCCCCNC(=S)NC6=CC(=C(C=C6)C7=C8C=CC(=O)C=C8OC9=C7C=CC(=C9)[O-])C(=O)O,-2.315970345456918,Cn1cc2c(nc(NC(=O)Nc3ccc(CC(=O)NCCCOCCOOCCCCCNC(=S)Nc4ccc(-c5c6ccc(=O)cc-6oc6cc([O-])ccc56)c(C(=O)O)c4)cc3)n3nc(-c4ccco4)nc23)n1
C1CCC(C1)NC2=NC(=NC3=C2N=CN3C4C5CC5C(C4O)O)Cl,-2.0791812460476247,OC1C(O)C(n2cnc3c(NC4CCCC4)nc(Cl)nc32)C2CC12
C1=CC=C(C=C1)C(=O)NC2=NC3=C(C=CC=N3)N4C2=NN(C4=O)C5=CC=CC=C5,-1.846955325019824,O=C(Nc1nc2ncccc2n2c(=O)n(-c3ccccc3)nc12)c1ccccc1
CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,-3.9190780923760737,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
COC1=C(C=C(C=C1)CN=NC2=NC3=C(C(=N2)N)N=CN3C4C(C(C(O4)CO)O)O)Cl,-1.7075701760979365,COc1ccc(CN=Nc2nc(N)c3ncn(C4OC(CO)C(O)C4O)c3n2)cc1Cl
